date, pm25, pm10, o3, no2
2018/6/16, , 10, , 2
2018/6/17, , 11, , 3
2018/6/18, , 9, , 5
2018/6/19, , 11, , 4
2018/6/20, , 12, , 4
2018/6/21, , 14, , 3
2018/6/22, , 9, , 
2018/6/23, , 11, , 
2018/6/24, , 10, , 3
2018/6/25, , 8, , 3
2018/6/26, , 12, , 3
2018/6/27, , 14, , 7
2018/6/28, , 17, , 6
2018/6/29, , 20, , 3
2018/6/30, , 17, , 
2018/1/1, , 11, , 5
2018/1/2, , 7, , 
2018/1/4, , 12, , 6
2018/1/5, , 12, , 9
2018/1/6, , 12, , 3
2018/1/7, , 13, , 4
2018/1/8, , 11, , 6
2018/1/9, , 14, , 7
2018/1/10, , 13, , 11
2018/1/11, , 20, , 13
2018/1/12, , 31, , 6
2018/1/13, , 21, , 3
2018/1/14, , 15, , 5
2018/1/15, , 13, , 4
2018/1/16, , 8, , 5
2018/1/18, , 7, , 8
2018/1/21, , 10, , 7
2018/1/22, , 5, , 7
2018/1/23, , 15, , 
2018/1/24, , 11, , 8
2018/1/26, , 12, , 7
2018/1/27, , 23, , 
2018/1/28, , 13, , 2
2018/1/30, , 11, , 3
2018/1/31, , 11, , 5
2018/2/2, , 10, , 4
2018/2/3, , 12, , 3
2018/2/4, , 11, , 5
2018/2/5, , 13, , 11
2018/2/6, , 18, , 10
2018/2/7, , 30, , 13
2018/2/8, , 44, , 11
2018/2/9, , 50, , 5
2018/2/10, , 33, , 2
2018/2/11, , 14, , 6
2018/2/12, , 10, , 6
2018/2/13, , 12, , 7
2018/2/14, , 11, , 7
2018/2/15, , 13, , 11
2018/2/16, , 15, , 8
2018/2/17, , 20, , 4
2018/2/18, , 24, , 8
2018/2/19, , 21, , 7
2018/2/20, , 29, , 4
2018/2/21, , 44, , 11
2018/2/22, , 38, , 5
2018/2/23, , 28, , 3
2018/2/24, , 28, , 
2018/2/25, , 20, , 4
2018/2/26, , 19, , 7
2018/2/27, , 20, , 5
2018/2/28, , 29, , 3
2018/3/1, , 42, , 6
2018/3/2, , 44, , 5
2018/3/3, , 53, , 2
2018/3/4, , 45, , 5
2018/3/5, , 24, , 12
2018/3/6, , 23, , 8
2018/3/7, , 34, , 3
2018/3/8, , 25, , 4
2018/3/10, , 16, , 6
2018/3/11, , 12, , 7
2018/3/12, , 10, , 5
2018/3/13, , 7, , 7
2018/3/14, , 10, , 6
2018/3/15, , 17, , 4
2018/3/16, , 21, , 3
2018/3/17, , 12, , 
2018/3/18, , 16, , 6
2018/3/19, , 20, , 8
2018/3/20, , 26, , 10
2018/3/21, , 28, , 8
2018/3/22, , 32, , 7
2018/3/23, , 18, , 4
2018/3/24, , 21, , 4
2018/3/25, , 21, , 8
2018/3/26, , 42, , 7
2018/3/27, , 37, , 6
2018/3/28, , 21, , 5
2018/3/29, , 14, , 2
2018/3/30, , 13, , 4
2017/12/26, , 5, , 5
2017/12/28, , 10, , 4
2017/12/29, , 13, , 
2017/12/30, , 9, , 
2017/4/1, , 23, , 
2017/4/3, , 23, , 6
2017/4/4, , 39, , 6
2017/4/5, , 45, , 4
2017/4/6, , 26, , 8
2017/4/7, , 21, , 6
2017/4/8, , 29, , 4
2017/4/9, , 33, , 7
2017/4/10, , 26, , 9
2017/4/11, , 17, , 8
2017/4/12, , 26, , 7
2017/4/13, , 27, , 5
2017/4/14, , 19, , 4
2017/4/15, , 23, , 4
2017/4/16, , 15, , 
2017/4/17, , 16, , 5
2017/4/18, , 11, , 5
2017/4/19, , 12, , 6
2017/4/20, , 41, , 9
2017/4/21, , 51, , 2
2017/4/22, , 29, , 
2017/4/23, , 9, , 5
2017/4/24, , 15, , 3
2017/4/25, , 18, , 7
2017/4/26, , 29, , 6
2017/4/27, , 36, , 6
2017/4/28, , 31, , 4
2017/4/29, , 23, , 4
2017/4/30, , 12, , 3
2017/5/1, , 14, , 5
2017/5/2, , 13, , 5
2017/5/3, , 12, , 3
2017/5/4, , 18, , 4
2017/5/5, , 15, , 3
2017/5/6, , 19, , 5
2017/5/7, , 25, , 4
2017/5/8, , 18, , 4
2017/5/9, , 13, , 6
2017/5/10, , 38, , 6
2017/5/11, , 35, , 6
2017/5/12, , 18, , 3
2017/5/13, , 20, , 
2017/5/14, , 10, , 6
2017/5/15, , 21, , 6
2017/5/16, , 38, , 8
2017/5/17, , 32, , 4
2017/5/18, , 22, , 6
2017/5/19, , 19, , 3
2017/5/20, , 9, , 3
2017/5/21, , 10, , 7
2017/5/22, , 17, , 3
